priority,sku,name,slug,product_url,current_image_ref,resolution_status,quality_status,quality_issues,suggested_override_image,reason
100,FUNAT-COMPRA-CLORURO-DE-MAGNESIO-Y-LLEVA-LA-SEGUNDA-UNIDAD-CON-30-OFF,Compra Cloruro de Magnesio y lleva La Segunda Unidad Con 30% Off,compra-cloruro-de-magnesio-y-lleva-la-segunda-unidad-con-30-off,https://naturalbe.com.co/producto/compra-cloruro-de-magnesio-y-lleva-la-segunda-unidad-con-30-off.html,/static/img/placeholder.webp,local_fuzzy,ok,,cache_images_final\normalized\FUNAT-COMPRA-CLORURO-DE-MAGNESIO-Y-LLEVA-LA-SEGUNDA-UNIDAD-CON-30-OFF.jpg,Fuzzy match: conviene fijar imagen exacta por override.
100,FUNAT-POR-LA-COMPRA-DE-CALENDULA-UNGUENTO-X-90-G-LLEVA-SANGRE-DE-DRAGO-EXTRACTO-X-60ML-CON-UN-40-OFF,Por La Compra De Calendula Ungüento X 90 G Lleva Sangre De Drago Extracto X 60Ml Con Un 40% Off,por-la-compra-de-calendula-unguento-x-90-g-lleva-sangre-de-drago-extracto-x-60ml-con-un-40-off,https://naturalbe.com.co/producto/por-la-compra-de-calendula-unguento-x-90-g-lleva-sangre-de-drago-extracto-x-60ml-con-un-40-off.html,/static/img/placeholder.webp,local_fuzzy,ok,,cache_images_final\normalized\FUNAT-POR-LA-COMPRA-DE-CALENDULA-UNGUENTO-X-90-G-LLEVA-SANGRE-DE-DRAGO-EXTRACTO-X-60ML-CON-UN-40-OFF.jpg,Fuzzy match: conviene fijar imagen exacta por override.
63,FM-1017009,Ensure Vainilla Polvo x 400 gr,ensure-vainilla-polvo-x-400-gr,https://naturalbe.com.co/producto/ensure-vainilla-polvo-x-400-gr.html,https://product-images.farmatodo.com/KpUwD44x79aXzeo5l-00O1cOZhoLv9CA-3g4EVDOlFNfqzfDrlZM0hfH0iQGJgdii_qfdORQUxBpXGVGbxZwL2UAZjo8wGFfK1Joae-PBUp05Ac=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/KpUwD44x79aXzeo5l-00O1cOZhoLv9CA-3g4EVDOlFNfqzfDrlZM0hfH0iQGJgdii_qfdORQUxBpXGVGbxZwL2UAZjo8wGFfK1Joae-PBUp05Ac=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-1026565,Glucerna Vainilla Polvo x 400 gr,glucerna-vainilla-polvo-x-400-gr,https://naturalbe.com.co/producto/glucerna-vainilla-polvo-x-400-gr.html,https://product-images.farmatodo.com/hkw61HR6BY9z9RdQGIIGIu6t7VXAWAvwv8KrF5kbf0kjlAQbIp_Y-7EBgiKpvLq0_iJhiAw36kyml2RIYw110MN5CJbnNMJDRZGH93ZzR9Tt0oE=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/hkw61HR6BY9z9RdQGIIGIu6t7VXAWAvwv8KrF5kbf0kjlAQbIp_Y-7EBgiKpvLq0_iJhiAw36kyml2RIYw110MN5CJbnNMJDRZGH93ZzR9Tt0oE=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-1052109,"Centrum Advance, Multivitaminico hombres y Mujeres de 18 a 49 Años X 30 Tabs",centrum-advance-multivitaminico-hombres-y-mujeres-de-18-a-49-anos-x-30-tabs,https://naturalbe.com.co/producto/centrum-advance-multivitaminico-hombres-y-mujeres-de-18-a-49-anos-x-30-tabs.html,https://product-images.farmatodo.com/kE2Wj-UGz5z3iGSsirhjX4jSdulPSqiNx8gCYrMP_48cXjt2friSjMukC4SkG5mzk_153QMTVxj3gqaKOQWDmavWLHn1FuNfOE622FwcIWHy7mM=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/kE2Wj-UGz5z3iGSsirhjX4jSdulPSqiNx8gCYrMP_48cXjt2friSjMukC4SkG5mzk_153QMTVxj3gqaKOQWDmavWLHn1FuNfOE622FwcIWHy7mM=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-1052111,Centrum Advance Multivitamínico Hombres y Mujeres X 100 Tabletas,centrum-advance-multivitaminico-hombres-y-mujeres-x-100-tabletas,https://naturalbe.com.co/producto/centrum-advance-multivitaminico-hombres-y-mujeres-x-100-tabletas.html,https://product-images.farmatodo.com/23YA7mPJjaPSBRBYP2ng4JXcL0Eh7kpfVUrjnlyaMnco12jit3VOFbnM1C58yq1xpRP9prNSmSBIb5zuYGqcdUc1Lcrve8urJeBrGj1TPXVKu9ynVg=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/23YA7mPJjaPSBRBYP2ng4JXcL0Eh7kpfVUrjnlyaMnco12jit3VOFbnM1C58yq1xpRP9prNSmSBIb5zuYGqcdUc1Lcrve8urJeBrGj1TPXVKu9ynVg=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-1052112,"Centrum Silver, Multivitamínico para hombres y mujeres +50 x 30 Tabs",centrum-silver-multivitaminico-para-hombres-y-mujeres-50-x-30-tabs,https://naturalbe.com.co/producto/centrum-silver-multivitaminico-para-hombres-y-mujeres-50-x-30-tabs.html,https://product-images.farmatodo.com/YRB2Dn4_LoJ7Fy5YY8xx6EUmqfppXn4ieBHpA1n6D4wji6o8OEU5U4NCboeWODn6zipxBlhvTd8GYsNyaMM2b_p3v6x3TSfyQ2dNy5cCKnDvcgCchQ=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/YRB2Dn4_LoJ7Fy5YY8xx6EUmqfppXn4ieBHpA1n6D4wji6o8OEU5U4NCboeWODn6zipxBlhvTd8GYsNyaMM2b_p3v6x3TSfyQ2dNy5cCKnDvcgCchQ=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-1052114,"Centrum Silver, Multivitamínico hombres y mujeres +50 X 100 tabs",centrum-silver-multivitaminico-hombres-y-mujeres-50-x-100-tabs,https://naturalbe.com.co/producto/centrum-silver-multivitaminico-hombres-y-mujeres-50-x-100-tabs.html,https://product-images.farmatodo.com/YqisEgmBzYa3InIQoJOMnh4zhDz5ELe8l-IWHD4se0gvNJ0xZleRMtTJKyx69i1WlWzCsdh2jcABPMbXOttoCmLv-jMq2wKirJc-N47_B1eLVEU=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/YqisEgmBzYa3InIQoJOMnh4zhDz5ELe8l-IWHD4se0gvNJ0xZleRMtTJKyx69i1WlWzCsdh2jcABPMbXOttoCmLv-jMq2wKirJc-N47_B1eLVEU=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-1061100,"Centrum Men, Multivitamínico hombres entre 18 y 49 años X 30 tabs",centrum-men-multivitaminico-hombres-entre-18-y-49-anos-x-30-tabs,https://naturalbe.com.co/producto/centrum-men-multivitaminico-hombres-entre-18-y-49-anos-x-30-tabs.html,https://product-images.farmatodo.com/rJeAGbMiaLFy5ChcjmaMV-DV3ikZ0-KwS8jzGz-2-I4rEmYKKPamyOpjNkXA7HT3l-Fl1qvrbcqFCXSfMsrqg_B8LYxoujCaLIZWzR7nL4dS47v-=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/rJeAGbMiaLFy5ChcjmaMV-DV3ikZ0-KwS8jzGz-2-I4rEmYKKPamyOpjNkXA7HT3l-Fl1qvrbcqFCXSfMsrqg_B8LYxoujCaLIZWzR7nL4dS47v-=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-1061101,"Centrum Men, Multivitamínico hombres entre 18 y 49 años X 60 tabs",centrum-men-multivitaminico-hombres-entre-18-y-49-anos-x-60-tabs,https://naturalbe.com.co/producto/centrum-men-multivitaminico-hombres-entre-18-y-49-anos-x-60-tabs.html,https://product-images.farmatodo.com/zm23gvJ8WnFUtqYsaXHY7tJSvdYhpevZphYqFgrRrvvh6w7rbrK5AqqvIe7zouik8vi6aVDGCfnAdlLMgLF4qZD4jF77xsRQwgNZ5vHbogqMF8dp=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/zm23gvJ8WnFUtqYsaXHY7tJSvdYhpevZphYqFgrRrvvh6w7rbrK5AqqvIe7zouik8vi6aVDGCfnAdlLMgLF4qZD4jF77xsRQwgNZ5vHbogqMF8dp=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-217300047,"Centrum Silver Women, multivitamínico mujeres +50 años X 30 tabs",centrum-silver-women-multivitaminico-mujeres-50-anos-x-30-tabs,https://naturalbe.com.co/producto/centrum-silver-women-multivitaminico-mujeres-50-anos-x-30-tabs.html,https://product-images.farmatodo.com/wHxMw7KMH_nvJeJohV2gBoE7zqSNuhcvQaupnctIvtz_SGWl9Px3kz9og00BadFdLa_Jq08ydcwe1WtKQaVm7qhBAeINRZGuLv_GkQhCEPvIu0E=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/wHxMw7KMH_nvJeJohV2gBoE7zqSNuhcvQaupnctIvtz_SGWl9Px3kz9og00BadFdLa_Jq08ydcwe1WtKQaVm7qhBAeINRZGuLv_GkQhCEPvIu0E=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-217300055,"Centrum Silver Men, multivitamínico hombres +50 años X 30 tabs",centrum-silver-men-multivitaminico-hombres-50-anos-x-30-tabs,https://naturalbe.com.co/producto/centrum-silver-men-multivitaminico-hombres-50-anos-x-30-tabs.html,https://product-images.farmatodo.com/o5hZKM4PdiXnlpCcLrdDLlodfHxR_yHh_eZYb2akRrS0w6osBEzNMovvcaNmxjp9hvy34Mscu0IJ7L20-IwNThYdBduRI0LG3dIs83rNx89cz_a3=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/o5hZKM4PdiXnlpCcLrdDLlodfHxR_yHh_eZYb2akRrS0w6osBEzNMovvcaNmxjp9hvy34Mscu0IJ7L20-IwNThYdBduRI0LG3dIs83rNx89cz_a3=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-217300063,"Centrum Silver Women, Multivitamínico mujeres mayores de 50 años X 60 tabs",centrum-silver-women-multivitaminico-mujeres-mayores-de-50-anos-x-60-tabs,https://naturalbe.com.co/producto/centrum-silver-women-multivitaminico-mujeres-mayores-de-50-anos-x-60-tabs.html,https://product-images.farmatodo.com/kghF9PQK2QbgoBut0iLasQNR3qaP5lXx79pylSxj6IsVlztSVYaTlXCtv7mujDFhopiF8jgnJpikEUx7ik59OvIdXo5z4E3XOAjoZO0XAkoMauw=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/kghF9PQK2QbgoBut0iLasQNR3qaP5lXx79pylSxj6IsVlztSVYaTlXCtv7mujDFhopiF8jgnJpikEUx7ik59OvIdXo5z4E3XOAjoZO0XAkoMauw=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-217300071,"Centrum Silver Men, multivitamínico hombres +50 años X 60 tabs",centrum-silver-men-multivitaminico-hombres-50-anos-x-60-tabs,https://naturalbe.com.co/producto/centrum-silver-men-multivitaminico-hombres-50-anos-x-60-tabs.html,https://product-images.farmatodo.com/c6G2UUv8PNtUWuD4CJ84Zd5dSX6of6V5Q72cQ-f4zntqFgUb_98rZ_smq8atDAu7UbfoueX9VV-R7Hz4KZbRsexF6I1736aET91ScV5qB-wymP-x=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/c6G2UUv8PNtUWuD4CJ84Zd5dSX6of6V5Q72cQ-f4zntqFgUb_98rZ_smq8atDAu7UbfoueX9VV-R7Hz4KZbRsexF6I1736aET91ScV5qB-wymP-x=s360,Calidad en review: recomendable override con imagen mejor.
63,FM-224700233,Pediasure Peptigro Fresa Lata x 400 gr,pediasure-peptigro-fresa-lata-x-400-gr,https://naturalbe.com.co/producto/pediasure-peptigro-fresa-lata-x-400-gr.html,https://product-images.farmatodo.com/-qHMEYy36DaMWko2_cxUs1Uxvr5_9w7oHDO-RCEVeUbEK49hEN3PSmVDCN7enb1_UE5ETIUHdLJFR57OZKwINc4bAzXSB7rn6zNgrUfvoUwonhwJ=s360,local_image,review,small_file;low_width;low_height,https://product-images.farmatodo.com/-qHMEYy36DaMWko2_cxUs1Uxvr5_9w7oHDO-RCEVeUbEK49hEN3PSmVDCN7enb1_UE5ETIUHdLJFR57OZKwINc4bAzXSB7rn6zNgrUfvoUwonhwJ=s360,Calidad en review: recomendable override con imagen mejor.
63,FUNAT-ISO-HIDROLIZADA-VAINILLA-908GR,Iso hidrolizada vainilla 908gr,iso-hidrolizada-vainilla-908gr,https://naturalbe.com.co/producto/iso-hidrolizada-vainilla-908gr.html,https://funat.co/wp-content/uploads/2024/03/49-1-300x300-1.webp,override_local,review,small_file;low_width;low_height,https://funat.co/wp-content/uploads/2024/03/49-1-300x300-1.webp,Calidad en review: recomendable override con imagen mejor.
63,TONA-CAB-112,Shampoo Tío Nacho Aclarante Manzanilla (1 L),shampoo-tio-nacho-aclarante-manzanilla-1l,https://naturalbe.com.co/producto/shampoo-tio-nacho-aclarante-manzanilla-1l.html,/static/img/tio-nacho/9.jpeg,local_image,review,small_file;low_width;low_height,/static/img/tio-nacho/9.jpeg,Calidad en review: recomendable override con imagen mejor.
63,TONA-CAB-415ML-415,Acondicionador Tío Nacho Aclarante Manzanilla (415 ml),acondicionador-tio-nacho-aclarante-manzanilla-415ml,https://naturalbe.com.co/producto/acondicionador-tio-nacho-aclarante-manzanilla-415ml.html,/static/img/tio-nacho/2.jpeg,local_image,review,small_file;low_width;low_height,/static/img/tio-nacho/2.jpeg,Calidad en review: recomendable override con imagen mejor.
63,TONA-CAB-415ML-415-02,Acondicionador Tío Nacho Anti-Daño Aloe Vera (415 ml),acondicionador-tio-nacho-anti-dano-aloe-vera-415ml,https://naturalbe.com.co/producto/acondicionador-tio-nacho-anti-dano-aloe-vera-415ml.html,/static/img/tio-nacho/3.jpeg,local_image,review,small_file;low_width;low_height,/static/img/tio-nacho/3.jpeg,Calidad en review: recomendable override con imagen mejor.
63,TONA-CAB-415ML-415-03,Acondicionador Tío Nacho Anti-Edad Jalea Real (415 ml),acondicionador-tio-nacho-anti-edad-jalea-real-415ml,https://naturalbe.com.co/producto/acondicionador-tio-nacho-anti-edad-jalea-real-415ml.html,/static/img/tio-nacho/4.jpeg,local_image,review,small_file;low_width;low_height,/static/img/tio-nacho/4.jpeg,Calidad en review: recomendable override con imagen mejor.
